DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
01M448,UNIVERSITY NEIGHBORHOOD H.S.,39,49,10
01M450,EAST SIDE COMMUNITY HS,19,21,
01M515,LOWER EASTSIDE PREP,24,26,24
01M539,"NEW EXPLORATIONS SCI,TECH,MATH",255,377,191
02M296,High School of Hospitality Management,,,
02M298,Pace High School,21,21,
02M300,"Urban Assembly School of Design and Construction,",99,117,10
02M303,"Facing History School, The",42,44,
02M305,"Urban Assembly Academy of Government and Law, The",25,37,15
02M308,Lower Manhattan Arts Academy,,,
02M400,HS FOR ENVIRONMENTAL STUDIES,213,298,152
02M408,PROFESSIONAL PERFORMING ARTS,20,20,15
02M411,BARUCH COLLEGE CAMPUS HS,78,115,88
02M412,NYC LAB HS FOR COLL. STUDIES,114,140,97
02M413,SCHOOL OF THE FUTURE,11,11,
02M414,NYC MUSEUM SCHOOL,,,
02M416,Eleanor Roosevelt High School,155,235,169
02M418,Millennium High School,86,95,67
02M420,HEALTH PROF & HUMAN SVCS,204,248,75
02M425,H S FOR LEADERSHIP & PUBLIC,70,84,32
02M429,LEGACY SCHOOL,22,26,
02M439,MANHATTAN VILLAGE ACADEMY HS,42,69,29
02M440,HS FOR HUMANITIES,6,6,
02M459,CES-MANHATTAN INTERNATIONAL,12,12,6
02M460,WASHINGTON IRVING HS,69,83,21
02M475,STUYVESANT HS,1510,2819,2648
02M489,HS OF ECONOMICS & FINANCE,101,176,78
02M519,TALENT UNLIMITED,30,34,21
02M520,MURRY BERGTRAUM H.S.,118,157,76
02M529,JACQUELINE K. ONASSIS HS,80,118,29
02M542,Manhattan Bridges High School,67,102,59
02M545,High School for Dual Language and Asian Studies,61,96,89
02M551,HARBOR HIGH SCHOOL,7,7,
02M575,MANHATTAN COMP.NIGHT H.S.,58,100,61
02M580,R.R.GREEN HS OF TEACHING,67,117,40
02M600,HS FOR FASHION INDUSTRIES,70,87,26
02M615,CHELSEA VHS,52,97,13
02M620,NORMAN THOMAS H.S.,34,34,14
02M625,HS COMMUNICATION GRAPHIC ART,79,85,9
02M630,HS OF ART AND DESIGN,84,100,33
02M655,LIFE SCIENCES SECONDARY SCHL,50,90,10
03M415,WADLEIGH ARTS HIGH SCHOOL,65,73,
03M470,LOUIS D. BRANDEIS HS,48,70,6
03M479,BEACON SCHOOL,166,197,140
03M485,FIORELLO H.LAGUARDIA HS,691,1236,790
03M494,"MLK, JR HS FOR ARTS & TECH",38,38,6
03M860,FREDERICK DOUGLASS ACADEMY II,11,11,
04M409,COALITION SCHL FOR SOCIAL CHG,18,18,
04M435,MANHATTAN CENTER-SCIENCE&MATH,328,426,261
04M495,PARK EAST H.S.,,,
04M555,CENTRAL PARK EAST H.S.,,,
04M610,THE YOUNG WOMEN'S LEADERSHIP SCHOOL OF EAST HARLEM,41,55,29
04M610,YOUNG WOMEN'S LEADERSHIP SCH,,,
05M304,Mott Hall High School,11,11,
05M367,Academy for Social Action: A College Board School,17,17,
05M469,CHOIR ACADEMY OF HARLEM,6,6,
05M499,FREDRICK DOUGLAS SEC. SCHOOL,163,226,159
05M670,THURGOOD MARSHALL ACADEMY,37,38,
05M692,HIGH SCHOOL FOR MATH SCIENCE ENGINEERING @ CCNY,114,124,71
06M462,H.S. INT'L BUSINESS & FINANCE,108,135,43
06M463,H.S. MEDIA & COMMUNICATIONS,37,64,
06M467,H.S. LAW & PUBLIC SERVICE,141,212,82
06M468,H.S. HEALTH CAREERS & SCIENCE,32,38,17
06M540,A PHILIP RANDOLPH CAMPUS,165,222,72
06M552,GREGORIO LUPERON HS SCI & MATH,88,138,73
07X221,South Bronx Preparatory: A College Board School,63,89,24
07X500,LINCOLN ACADEMY/ HOSTOS,64,107,39
07X520,FOREIGN LANG ACAD/GLOBAL STUD,13,13,12
07X527,Bronx Leadership Academy II High School,30,30,
07X547,New Explorers High School,18,18,
07X548,Urban Assembly School for Careers in Sports,,,
07X551,Bronx Academy of Letters,53,92,37
07X600,ALFRED E. SMITH VHS,11,11,
07X655,SAMUEL GOMPERS VHS,77,126,
07X670,HEALTH OPPORTUNITIES PROGRAM,61,117,29
08X282,Women's Academy of Excellence,21,22,
08X293,Renaissance High School for Musical Theater & Tech,22,29,14
08X295,Gateway School for Environmental Research and Tech,,,
08X305,Pablo Neruda Academy for Architecture and World St,,,
08X312,Millennium Art Academy,35,55,
08X332,Holcombe L. Rucker School of Community Research,20,28,
08X405,HERBERT LEHMAN HS,430,532,197
08X540,School for Community Research and Learning,9,9,
08X650,JANE ADDAMS VHS,44,69,8
09X231,Eagle Academy for Young Men,32,44,11
09X239,Urban Assembly Academy for History and Citizenship,9,9,
11X455,HARRY S TRUMAN HS,103,135,27
09X241,Urban Assembly School for Applied Math and Science,16,16,
09X250,Eximius College Preparatory Academy: A College Boa,90,146,11
09X260,Bronx Center for Science and Mathematics,62,80,35
09X263,Validus Preparatory Academy: An Expeditionary Lear,7,7,
09X276,Leadership Institute,17,17,7
09X329,DreamYard Preparatory School,15,15,
09X365,Academy for Language and Technology,20,20,20
09X412,BRONX HIGH SCHOOL OF BUSINESS,26,31,9
09X414,J. LEVIN HS FOR MEDIA & COMM.,18,18,
09X505,"BRONX SCH FOR LAW, GOVT, JUST",45,55,27
09X517,FREDERICK DOUGLASS ACADEMY III,26,36,
09X525,BRONX LEADERSHIP ACADEMY HS,40,42,8
10X141,MS/HS 141 D A STEIN RIV/KINGSB,133,184,119
10X213,Bronx Engineering and Technology Academy,107,228,10
10X225,Theatre Arts Production Company School,17,27,
10X237,"The Marie Curie School for Medicine, Nursing, and",15,15,
10X243,West Bronx Academy for the Future,25,29,14
10X268,Kingsbridge International High School,32,37,
10X284,Bronx School of Law and Finance,21,27,
10X342,International School for Liberal Arts,55,73,45
10X368,MS/HS 368 INFO & NETWORK TECH,40,54,17
10X433,HS FOR TEACHING & PROFESSIONS,62,83,13
10X434,BELMONT PREPARATORY HIGH SCHL,31,45,10
10X437,FORDHAM HS FOR THE ARTS,,,
10X438,FORDHAM LDRSHP ACAD BUS & TECH,42,47,12
10X439,BRONX HS OF LAW & COMM SERVICE,44,65,9
10X440,DEWITT CLINTON HS,366,540,262
10X442,"Celia Cruz Bronx High School of Music, The",31,35,8
10X445,BRONX HS OF SCIENCE,1190,2435,2189
10X475,JOHN F KENNEDY HS,46,48,19
10X477,MARBLE HILL HS FOR INT STUDIES,83,141,37
10X546,Bronx Theatre High School,34,34,
10X549,Discovery High School,,,
10X696,HIGH SCHOOL OF AMERICAN STUDIES At Lehman College,194,302,243
11X249,Bronx Health Sciences High School,,,
11X253,Bronx High School for Writing and Communication Ar,28,30,
11X270,Academy for Scholarship and Entrepreneurship: A Co,24,24,
11X275,High School of Computers and Technology,,,
11X288,Collegiate Institute for Math and Science,79,111,33
11X299,Astor Collegiate Academy,36,48,12
11X415,CHRISTOPHER COLUMBUS HS,34,34,6
11X418,BRONX HS FOR THE VISUAL ARTS,26,41,9
11X513,New World High School,12,12,
11X542,Pelham Preparatory Academy,46,57,17
12X248,"Metropolitan High School, The",25,25,
12X267,Bronx Latin,,,
12X271,East Bronx Academy for the Future,32,37,
12X278,Peace and Diversity Academy,8,8,
12X682,FANNIE LOU HAMER FREEDOM HS,,,
12X684,WINGS ACADEMY,20,27,
12X690,MONROE ACADEMY - BUSINESS/LAW,7,7,
13K265,Dr Susan S McKinney Secondary School of the Arts,17,22,
13K412,"Brooklyn Community High School of Communication, A",21,21,
13K419,SCIENCE SKILLS CENTER,52,59,
13K430,BROOKLYN TECHNICAL HS,2117,3692,2687
13K483,"Urban Assembly School for Law and Justice, The",31,57,24
13K499,ACORN COMMUNITY HIGH SCHOOL,64,95,
13K509,FREEDOM ACADEMY H.S.,74,89,
13K595,Bedford Academy High School,43,57,16
13K605,GEORGE WESTINGHOUSE,35,35,
13K670,BENJAMIN BANNEKER ACADEMY,132,149,62
14K071,JHS 071 JUAN MOREL CAMPOS,16,16,12
14K322,Foundations Academy,42,53,
14K474,PROGRESS HIGH SCHOOL,50,66,
14K477,HIGH SCHOOL OF LEGAL STUDIES,24,27,
14K478,HS OF ENTERPRISE AND TECH,94,129,19
14K488,Brooklyn Preparatory High School,28,46,7
14K558,Williamsburg High School for Architecture and Desi,30,48,
14K561,Williamsburg Preparatory School,31,41,
14K685,EL PUENTE ACADEMY,,,
15K463,Secondary School for Journalism,22,22,
15K497,SCHOOL FOR INTERNATL.STUDIES,30,34,
15K519,COBBLE HILL SCH OF AMER STUDIE,25,36,
15K530,METROPOLITAN CORP. ACADEMY,14,14,
15K656,BROOKLYN H.S. FOR THE ARTS,,,
16K455,BOYS AND GIRLS HS,22,32,
16K498,Acorn High School for Social Justice,49,80,
17K382,Academy for College Preparation and Career Explora,64,82,7
17K528,"High School for Global Citizenship, The",20,34,
17K537,High School for Youth and Community Development at,21,37,
17K546,High School for Public Service: Heroes  of Tomorro,106,130,13
17K547,Brooklyn Academy of Science and the  Environment,49,59,
17K548,Brooklyn School for Music & Theatre,37,41,9
17K590,MIDDLE COLL HS @ MEDGAR EVERS,272,507,86
17K600,CLARA BARTON VHS,135,211,63
17K625,PAUL ROBESON HS,50,51,
18K415,SAMUEL J. TILDEN HS,,,
18K500,CANARSIE HS,11,14,
19K409,EAST NEW YORK FAMILY ACADEMY,,,
19K420,FRANKLIN K LANE HIGH SCHOOL,10,10,
19K504,High School for Civil Rights,12,18,
19K507,Performing Arts and Technology High School,,,
19K510,World Academy for Total Community Health High Scho,22,22,
19K583,Multicultural High School,44,44,39
19K615,ENY-TRANSIT TECH HS,138,164,18
19K659,Cypress Hills Collegiate Preparatory School,21,21,10
19K660,WM H MAXWELL VHS,46,46,
20K445,NEW UTRECHT HS,174,271,95
20K485,HS OF TELECOMMUNICATIONS,251,413,123
20K490,FORT HAMILTON HS,357,576,331
20K505,F.D. ROOSEVELT HS,228,340,186
21K344,Rachel Carson High School for Coastal Studies,34,64,
21K348,High School of Sports Management,10,10,
21K400,LAFAYETTE HS,,,
21K410,ABRAHAM LINCOLN HS,133,193,18
21K525,EDWARD R MURROW HS,397,577,307
21K540,JOHN DEWEY H.S.,232,370,154
21K690,BROOKLYN STUDIO SCHOOL,39,43,13
22K405,MIDWOOD HS,745,1223,758
22K425,JAMES MADISON HS,323,463,188
22K495,SHEEPSHEAD BAY HS,37,59,27
22K535,LEON GOLDSTEIN HS SCIENCES,367,575,382
23K493,Brooklyn Collegiate: A College Board School,15,16,
23K514,Frederick Douglass Academy VII High School,39,40,
23K697,TEACHERS PREPARATORY SCHOOL,33,37,
24Q264,Academy of Finance and  Enterprise,95,137,40
24Q267,High School of Applied Communication,46,48,
24Q455,NEWTOWN HS,174,200,117
24Q485,GROVER CLEVELAND HS,200,274,112
24Q550,HIGH SCHOOL FOR ARTS & BUSINESS,198,320,73
24Q600,QUEENS VHS,27,27,20
24Q610,AVIATION CAREER & TECHNICAL H.S.,130,140,61
25Q285,World Journalism Preparatory: A College Board Scho,65,87,18
25Q425,JOHN BOWNE HS,176,229,116
25Q460,FLUSHING HS,324,424,136
25Q525,TOWNSEND HARRIS HS,613,796,625
25Q670,R F KENNEDY COLLABORATIVE H S,77,112,43
26Q415,BENJAMIN N. CARDOZO,676,1145,796
26Q430,FRANCIS LEWIS HS,697,1033,583
26Q435,MARTIN VAN BUREN HS,71,101,15
26Q495,BAYSIDE HS,480,686,413
26Q566,"Queens High School of Teaching, Liberal Arts and t",,,
27Q262,Channel View School for Research,43,69,18
27Q323,Scholars' Academy,55,121,57
27Q400,AUGUST MARTIN HS,19,28,
27Q475,RICHMOND HILL HS,142,170,55
27Q480,JOHN ADAMS HS,140,168,33
27Q650,"High School for Construction Trades, Engineering a",91,109,21
28Q440,FOREST HILLS HS,733,1116,526
28Q470,JAMAICA HS,64,76,8
28Q505,HILLCREST HS,241,362,50
28Q620,THOS A EDISON VHS,183,244,100
28Q680,GATEWAY TO HEALTH SCIENCES,89,136,57
28Q687,Queens HS for Science York Colllege,215,338,275
28Q690,High School for Law Enforcement and Public Safety,19,19,
28Q896,"Young  Women's Leadership School, Queens",6,6,
29Q248,Queens Preparatory Academy,15,15,
29Q259,Pathways College Preparatory School: A College Boa,29,71,
29Q272,George Washington Carver High School for the Scien,14,21,
29Q283,Preparatory Academy for Writers,40,43,
29Q420,SPRINGFIELD GARDENS HS,,,
29Q492,MATH/SCIENCE RESEARCH TECH CTR,22,31,8
29Q496,BUSINESS/COMPUTER APPLICATIONS,,,
30Q445,WM CULLEN BRYANT HS,243,330,97
30Q450,LONG ISLAND CITY HS,406,805,169
30Q501,FRANK SINATRA HIGH SCHOOL,108,136,38
30Q502,INFORMATION TECHNOLOGY HS,51,74,13
30Q555,NEWCOMERS HS:ACAD AMER STD,119,163,140
30Q575,ACADEMY OF AMER. STUDIES HS,101,170,119
31R080,PS 080 MICHAEL J. PETRIDES,162,243,66
31R440,NEW DORP HS,96,118,62
31R445,PORT RICHMOND HS,194,304,76
31R450,CURTIS HS,247,295,90
31R455,TOTTENVILLE HS,396,687,206
31R460,SUSAN E. WAGNER HS,279,408,175
31R600,RAPLH MCKEE VHS,,,
31R605,STATEN ISLAND TECHNICAL HS,528,905,809
32K545,EBC-HS FOR PUB SERVICE (BUSH),47,64,13
32K552,Academy of Urban Planning,76,100,10
32K554,All City Leadership Secondary School,7,8,
32K556,Bushwick Leaders High School for Academic Excellen,34,35,18
