movie,year,metascore,imdb,tmeter,audience,fandango,n_metascore,n_imdb,n_tmeter,n_audience,nr_metascore,nr_imdb,nr_tmeter,nr_audience
10 Cloverfield Lane,2016,76,7.2,90,79,3.5,3.8,3.6,4.5,3.95,4,3.5,4.5,4
13 Hours,2016,48,7.3,50,83,4.5,2.4,3.65,2.5,4.15,2.5,3.5,2.5,4
A Cure for Wellness,2016,47,6.6,40,47,3,2.35,3.3,2,2.35,2.5,3.5,2,2.5
A Dog's Purpose,2017,43,5.2,33,76,4.5,2.15,2.6,1.65,3.8,2,2.5,1.5,4
A Hologram for the King,2016,58,6.1,70,57,3,2.9,3.05,3.5,2.85,3,3,3.5,3
A Monster Calls,2016,76,7.5,87,84,4,3.8,3.75,4.35,4.2,4,4,4.5,4
A Street Cat Named Bob,2016,54,7.4,77,79,4.5,2.7,3.7,3.85,3.95,2.5,3.5,4,4
Alice Through the Looking Glass,2016,34,6.2,30,50,4,1.7,3.1,1.5,2.5,1.5,3,1.5,2.5
Allied,2016,60,7.1,61,66,4,3,3.55,3.05,3.3,3,3.5,3,3.5
Amateur Night,2016,38,5,0,27,3.5,1.9,2.5,0,1.35,2,2.5,0,1.5
Anthropoid,2016,59,7.2,66,71,4,2.95,3.6,3.3,3.55,3,3.5,3.5,3.5
Approaching the Unknown,2016,53,4.8,45,16,3.5,2.65,2.4,2.25,0.8,2.5,2.5,2,1
Arrival,2016,81,8,94,82,4,4.05,4,4.7,4.1,4,4,4.5,4
Arsenal,2017,25,4,4,22,3.5,1.25,2,0.2,1.1,1,2,0,1
Assassin's Creed,2016,36,6.1,17,51,4,1.8,3.05,0.85,2.55,2,3,1,2.5
Bad Moms,2016,60,6.2,58,65,4.5,3,3.1,2.9,3.25,3,3,3,3
Bad Santa 2,2016,38,5.5,23,37,3.5,1.9,2.75,1.15,1.85,2,3,1,2
Barbershop: The Next Cut,2016,67,5.9,90,67,4.5,3.35,2.95,4.5,3.35,3.5,3,4.5,3.5
Batman V Superman: Dawn of Justice,2016,44,6.7,27,63,4,2.2,3.35,1.35,3.15,2,3.5,1.5,3
Beauty and the Beast,2017,65,7.8,70,86,4.5,3.25,3.9,3.5,4.3,3,4,3.5,4.5
Before I Fall,2017,58,6.5,66,65,3.5,2.9,3.25,3.3,3.25,3,3,3.5,3
Before the Flood,2016,63,8.4,71,77,3.5,3.15,4.2,3.55,3.85,3,4,3.5,4
Ben-Hur,2016,38,5.7,25,55,4,1.9,2.85,1.25,2.75,2,3,1,3
Bitter Harvest,2017,34,7.2,10,82,4.5,1.7,3.6,0.5,4.1,1.5,3.5,0.5,4
Blair Witch,2016,47,5.1,35,30,3,2.35,2.55,1.75,1.5,2.5,2.5,2,1.5
Bleed for This,2016,62,6.8,71,70,4,3.1,3.4,3.55,3.5,3,3.5,3.5,3.5
Blood Father,2016,66,6.4,89,63,4,3.3,3.2,4.45,3.15,3.5,3,4.5,3
Bridget Jones's Baby,2016,59,6.7,76,69,4,2.95,3.35,3.8,3.45,3,3.5,4,3.5
Busanhaeng,2016,72,7.5,96,88,4.5,3.6,3.75,4.8,4.4,3.5,4,5,4.5
Cabin Fever,2016,14,3.7,0,11,4,0.7,1.85,0,0.55,0.5,2,0,0.5
Cafe Society,2016,64,6.7,70,58,3.5,3.2,3.35,3.5,2.9,3,3.5,3.5,3
Captain America: Civil War,2016,75,7.9,90,89,4.5,3.75,3.95,4.5,4.45,4,4,4.5,4.5
Captain Fantastic,2016,72,7.9,83,85,4,3.6,3.95,4.15,4.25,3.5,4,4,4
Cell,2016,38,4.3,11,16,3,1.9,2.15,0.55,0.8,2,2,0.5,1
Central Intelligence,2016,52,6.3,69,61,4.5,2.6,3.15,3.45,3.05,2.5,3,3.5,3
Collateral Beauty,2016,23,6.7,12,66,4,1.15,3.35,0.6,3.3,1,3.5,0.5,3.5
Collide,2016,33,5.7,19,39,3.5,1.65,2.85,0.95,1.95,1.5,3,1,2
Come and Find Me,2016,46,5.7,67,31,4,2.3,2.85,3.35,1.55,2.5,3,3.5,1.5
Criminal,2016,37,6.3,30,48,4,1.85,3.15,1.5,2.4,2,3,1.5,2.5
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,47,6.1,19,38,4,2.35,3.05,0.95,1.9,2.5,3,1,2
Deadpool,2016,65,8.1,84,90,4.5,3.25,4.05,4.2,4.5,3,4,4,4.5
Deepwater Horizon,2016,68,7.2,84,83,4.5,3.4,3.6,4.2,4.15,3.5,3.5,4,4
Dirty Grandpa,2016,18,6,11,45,3.5,0.9,3,0.55,2.25,1,3,0.5,2
Doctor Strange,2016,72,7.7,90,87,4.5,3.6,3.85,4.5,4.35,3.5,4,4.5,4.5
Don't Breathe,2016,71,7.2,87,79,4,3.55,3.6,4.35,3.95,3.5,3.5,4.5,4
Eddie the Eagle,2016,54,7.4,80,82,4.5,2.7,3.7,4,4.1,2.5,3.5,4,4
Elle,2016,89,7.3,90,74,3.5,4.45,3.65,4.5,3.7,4.5,3.5,4.5,3.5
Elvis & Nixon,2016,59,6.4,76,58,3.5,2.95,3.2,3.8,2.9,3,3,4,3
Everybody Loves Somebody,2017,74,6.6,93,76,4,3.7,3.3,4.65,3.8,3.5,3.5,4.5,4
Everybody Wants Some!!,2016,83,7,86,69,3.5,4.15,3.5,4.3,3.45,4,3.5,4.5,3.5
Exposed,2016,23,4.2,5,13,2.5,1.15,2.1,0.25,0.65,1,2,0,0.5
Fantastic Beasts and Where to Find Them,2016,66,7.5,73,81,4.5,3.3,3.75,3.65,4.05,3.5,4,3.5,4
Fences,2016,79,7.3,93,78,4,3.95,3.65,4.65,3.9,4,3.5,4.5,4
Fifty Shades Darker,2017,33,4.8,9,53,4.5,1.65,2.4,0.45,2.65,1.5,2.5,0.5,2.5
Fifty Shades of Black,2016,28,3.5,7,19,2.5,1.4,1.75,0.35,0.95,1.5,2,0.5,1
Finding Dory,2016,77,7.4,94,85,4.5,3.85,3.7,4.7,4.25,4,3.5,4.5,4
Fist Fight,2017,37,5.8,27,47,3.5,1.85,2.9,1.35,2.35,2,3,1.5,2.5
Florence Foster Jenkins,2016,71,6.9,87,69,4,3.55,3.45,4.35,3.45,3.5,3.5,4.5,3.5
Free State of Jones,2016,53,6.9,47,64,4,2.65,3.45,2.35,3.2,2.5,3.5,2.5,3
Genius,2016,56,6.5,51,45,3.5,2.8,3.25,2.55,2.25,3,3,2.5,2
Get a Job,2016,31,5.3,5,22,3,1.55,2.65,0.25,1.1,1.5,2.5,0,1
Get Out,2017,84,8.3,99,89,4.5,4.2,4.15,4.95,4.45,4,4,5,4.5
Ghostbusters,2016,60,5.4,73,53,4,3,2.7,3.65,2.65,3,2.5,3.5,2.5
Gods of Egypt,2016,25,5.5,16,37,3.5,1.25,2.75,0.8,1.85,1,3,1,2
Gold,2016,49,6.6,42,45,3.5,2.45,3.3,2.1,2.25,2.5,3.5,2,2
Hacksaw Ridge,2016,71,8.2,87,92,4.5,3.55,4.1,4.35,4.6,3.5,4,4.5,4.5
"Hail, Caesar!",2016,72,6.3,86,44,2.5,3.6,3.15,4.3,2.2,3.5,3,4.5,2
Hands of Stone,2016,54,6.6,45,54,4,2.7,3.3,2.25,2.7,2.5,3.5,2,2.5
Hell or High Water,2016,88,7.7,98,88,4.5,4.4,3.85,4.9,4.4,4.5,4,5,4.5
Hidden Figures,2016,74,7.9,92,93,5,3.7,3.95,4.6,4.65,3.5,4,4.5,4.5
How to Be Single,2016,51,6.1,47,47,4,2.55,3.05,2.35,2.35,2.5,3,2.5,2.5
Hunt for the Wilderpeople,2016,81,7.9,97,91,4.5,4.05,3.95,4.85,4.55,4,4,5,4.5
Hush,2016,67,6.6,94,74,4,3.35,3.3,4.7,3.7,3.5,3.5,4.5,3.5
"I, Daniel Blake",2016,78,8,93,87,4.5,3.9,4,4.65,4.35,4,4,4.5,4.5
I.T.,2016,27,5.4,10,25,3.5,1.35,2.7,0.5,1.25,1.5,2.5,0.5,1
Ice Age: Collision Course,2016,34,5.7,15,40,4,1.7,2.85,0.75,2,1.5,3,1,2
Imperium,2016,68,6.5,84,64,4.5,3.4,3.25,4.2,3.2,3.5,3,4,3
In a Valley of Violence,2016,64,6,76,54,4,3.2,3,3.8,2.7,3,3,4,2.5
Incarnate,2016,30,5.2,15,22,3,1.5,2.6,0.75,1.1,1.5,2.5,1,1
Independence Day: Resurgence,2016,32,5.3,31,31,3,1.6,2.65,1.55,1.55,1.5,2.5,1.5,1.5
Inferno,2016,42,6.2,19,37,3.5,2.1,3.1,0.95,1.85,2,3,1,2
Jack Reacher: Never Go Back,2016,47,6.1,37,43,4,2.35,3.05,1.85,2.15,2.5,3,2,2
Jackie,2016,81,6.9,89,64,3.5,4.05,3.45,4.45,3.2,4,3.5,4.5,3
Jane Got a Gun,2016,49,5.9,39,38,3.5,2.45,2.95,1.95,1.9,2.5,3,2,2
Jason Bourne,2016,58,6.7,56,57,4,2.9,3.35,2.8,2.85,3,3.5,3,3
John Wick: Chapter 2,2017,75,8.1,90,89,4.5,3.75,4.05,4.5,4.45,4,4,4.5,4.5
Julieta,2016,73,7.1,84,74,3.5,3.65,3.55,4.2,3.7,3.5,3.5,4,3.5
Keanu,2016,63,6.3,77,55,4,3.15,3.15,3.85,2.75,3,3,4,3
Keeping Up with the Joneses,2016,34,5.8,19,38,3.5,1.7,2.9,0.95,1.9,1.5,3,1,2
Kickboxer,2016,37,4.9,43,34,4,1.85,2.45,2.15,1.7,2,2.5,2,1.5
Kingsglaive: Final Fantasy XV,2016,35,6.9,13,70,4.5,1.75,3.45,0.65,3.5,2,3.5,0.5,3.5
Kong: Skull Island,2017,62,7.1,78,75,4,3.1,3.55,3.9,3.75,3,3.5,4,4
Kubo and the Two Strings,2016,84,7.9,97,87,4.5,4.2,3.95,4.85,4.35,4,4,5,4.5
Kung Fu Panda 3,2016,66,7.2,87,79,4.5,3.3,3.6,4.35,3.95,3.5,3.5,4.5,4
La La Land,2016,93,8.4,93,84,4,4.65,4.2,4.65,4.2,4.5,4,4.5,4
Lights Out,2016,58,6.4,76,62,4,2.9,3.2,3.8,3.1,3,3,4,3
Lion,2016,69,8.1,86,92,4,3.45,4.05,4.3,4.6,3.5,4,4.5,4.5
Live by Night,2016,49,6.4,34,44,3.5,2.45,3.2,1.7,2.2,2.5,3,1.5,2
Logan,2017,77,8.5,92,93,4.5,3.85,4.25,4.6,4.65,4,4,4.5,4.5
London Has Fallen,2016,28,5.9,25,52,4.5,1.4,2.95,1.25,2.6,1.5,3,1,2.5
Love & Friendship,2016,87,6.6,98,61,3.5,4.35,3.3,4.9,3.05,4.5,3.5,5,3
Loving,2016,79,7.1,89,77,4,3.95,3.55,4.45,3.85,4,3.5,4.5,4
Manchester by the Sea,2016,96,8,96,79,3.5,4.8,4,4.8,3.95,5,4,5,4
Manhattan Night,2016,44,6.2,30,56,3.5,2.2,3.1,1.5,2.8,2,3,1.5,3
Marauders,2016,42,5.4,24,31,4.5,2.1,2.7,1.2,1.55,2,2.5,1,1.5
Masterminds,2016,47,5.8,33,36,3.5,2.35,2.9,1.65,1.8,2.5,3,1.5,2
Max Steel,2016,22,4.6,0,38,3.5,1.1,2.3,0,1.9,1,2.5,0,2
Me Before You,2016,51,7.4,58,73,4.5,2.55,3.7,2.9,3.65,2.5,3.5,3,3.5
Mechanic: Resurrection,2016,38,5.6,29,41,4,1.9,2.8,1.45,2.05,2,3,1.5,2
Midnight Special,2016,76,6.7,83,68,3.5,3.8,3.35,4.15,3.4,4,3.5,4,3.5
Mike and Dave Need Wedding Dates,2016,51,6,35,53,4,2.55,3,1.75,2.65,2.5,3,2,2.5
Miracles from Heaven,2016,44,7,43,81,4.5,2.2,3.5,2.15,4.05,2,3.5,2,4
Misconduct,2016,24,5.3,7,24,3,1.2,2.65,0.35,1.2,1,2.5,0.5,1
Miss Peregrine's Home for Peculiar Children,2016,57,6.8,64,61,4,2.85,3.4,3.2,3.05,3,3.5,3,3
Moana,2016,81,7.7,95,90,4.5,4.05,3.85,4.75,4.5,4,4,5,4.5
Money Monster,2016,55,6.5,57,51,4,2.75,3.25,2.85,2.55,3,3,3,2.5
Moonlight,2016,99,7.6,97,81,4,4.95,3.8,4.85,4.05,5,4,5,4
Morgan,2016,48,5.8,40,30,3.5,2.4,2.9,2,1.5,2.5,3,2,1.5
Mr. Church,2016,37,7.7,15,80,4.5,1.85,3.85,0.75,4,2,4,1,4
My Big Fat Greek Wedding 2,2016,37,6,29,54,4,1.85,3,1.45,2.7,2,3,1.5,2.5
Neighbors 2: Sorority Rising,2016,58,5.7,62,45,3.5,2.9,2.85,3.1,2.25,3,3,3,2
Nerve,2016,58,6.6,66,68,4,2.9,3.3,3.3,3.4,3,3.5,3.5,3.5
Nine Lives,2016,11,5.3,11,42,4,0.55,2.65,0.55,2.1,0.5,2.5,0.5,2
Nocturnal Animals,2016,67,7.5,73,74,3.5,3.35,3.75,3.65,3.7,3.5,4,3.5,3.5
Norm of the North,2016,21,3.7,8,22,3,1.05,1.85,0.4,1.1,1,2,0.5,1
Now You See Me 2,2016,46,6.5,34,54,4,2.3,3.25,1.7,2.7,2.5,3,1.5,2.5
Office Christmas Party,2016,42,5.9,41,43,3.5,2.1,2.95,2.05,2.15,2,3,2,2
Ouija: Origin of Evil,2016,65,6.1,82,58,3.5,3.25,3.05,4.1,2.9,3,3,4,3
Our Kind of Traitor,2016,57,6.2,71,51,3.5,2.85,3.1,3.55,2.55,3,3,3.5,2.5
Passengers,2016,41,7,31,64,4,2.05,3.5,1.55,3.2,2,3.5,1.5,3
Patriots Day,2016,69,7.5,80,88,4.5,3.45,3.75,4,4.4,3.5,4,4,4.5
Pele: Birth of a Legened,2016,39,7.3,22,69,4.5,1.95,3.65,1.1,3.45,2,3.5,1,3.5
Pete's Dragon,2016,71,6.8,87,75,4.5,3.55,3.4,4.35,3.75,3.5,3.5,4.5,4
Precious Cargo,2016,27,4.6,0,21,3,1.35,2.3,0,1.05,1.5,2.5,0,1
Pride and Prejudice and Zombies,2016,45,5.8,43,45,4,2.25,2.9,2.15,2.25,2,3,2,2
Race,2016,56,7.1,60,77,4.5,2.8,3.55,3,3.85,3,3.5,3,4
Resident Evil: The Final Chapter,2016,49,5.8,33,58,4,2.45,2.9,1.65,2.9,2.5,3,1.5,3
Ride Along 2,2016,32,5.9,14,49,4,1.6,2.95,0.7,2.45,1.5,3,0.5,2.5
Rings,2017,25,4.5,6,28,3,1.25,2.25,0.3,1.4,1,2,0.5,1.5
Risen,2016,51,6.3,51,70,4.5,2.55,3.15,2.55,3.5,2.5,3,2.5,3.5
Rogue One: A Star Wars Story,2016,65,8,85,88,4.5,3.25,4,4.25,4.4,3,4,4,4.5
Sausage Party,2016,66,6.3,83,52,3.5,3.3,3.15,4.15,2.6,3.5,3,4,2.5
Shut In,2016,25,4.6,6,22,3,1.25,2.3,0.3,1.1,1,2.5,0.5,1
Sing,2016,59,7.2,73,74,4.5,2.95,3.6,3.65,3.7,3,3.5,3.5,3.5
Sing Street,2016,79,8,96,93,4.5,3.95,4,4.8,4.65,4,4,5,4.5
Skiptrace,2016,50,5.6,36,26,3.5,2.5,2.8,1.8,1.3,2.5,3,2,1.5
Sleepless,2017,33,5.5,18,49,4,1.65,2.75,0.9,2.45,1.5,3,1,2.5
Snowden,2016,58,7.3,61,72,4,2.9,3.65,3.05,3.6,3,3.5,3,3.5
Split,2016,62,7.5,76,81,4,3.1,3.75,3.8,4.05,3,4,4,4
Star Trek Beyond,2016,68,7.1,84,81,4.5,3.4,3.55,4.2,4.05,3.5,3.5,4,4
Storks,2016,56,6.9,63,63,4.5,2.8,3.45,3.15,3.15,3,3.5,3,3
Suicide Squad,2016,40,6.3,26,63,4,2,3.15,1.3,3.15,2,3,1.5,3
Sully,2016,74,7.5,85,85,4.5,3.7,3.75,4.25,4.25,3.5,4,4,4
Swiss Army Man,2016,64,7.1,69,73,4,3.2,3.55,3.45,3.65,3,3.5,3.5,3.5
T2 Trainspotting,2017,64,7.7,76,85,4.5,3.2,3.85,3.8,4.25,3,4,4,4
Table 19,2017,39,5.8,19,51,3,1.95,2.9,0.95,2.55,2,3,1,2.5
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,40,6,38,48,4,2,3,1.9,2.4,2,3,2,2.5
The 5th Wave,2016,33,5.2,16,38,3.5,1.65,2.6,0.8,1.9,1.5,2.5,1,2
The 9th Life of Louis Drax,2016,41,6.3,40,34,3.5,2.05,3.15,2,1.7,2,3,2,1.5
The Accountant,2016,51,7.4,51,78,4.5,2.55,3.7,2.55,3.9,2.5,3.5,2.5,4
The Angry Birds Movie,2016,43,6.3,43,47,4,2.15,3.15,2.15,2.35,2,3,2,2.5
The Autopsy of Jane Doe,2016,64,6.8,84,71,4.5,3.2,3.4,4.2,3.55,3,3.5,4,3.5
The BFG,2016,66,6.4,75,58,4,3.3,3.2,3.75,2.9,3.5,3,4,3
The Boss,2016,40,5.4,22,39,3.5,2,2.7,1.1,1.95,2,2.5,1,2
The Boy,2016,42,6,27,39,3.5,2.1,3,1.35,1.95,2,3,1.5,2
The Brothers Grimsby,2016,44,6.2,37,41,3.5,2.2,3.1,1.85,2.05,2,3,2,2
The Bye Bye Man,2017,37,3.8,23,27,3,1.85,1.9,1.15,1.35,2,2,1,1.5
The Choice,2016,26,6.6,12,62,4,1.3,3.3,0.6,3.1,1.5,3.5,0.5,3
The Confirmation,2016,65,6.4,91,55,4.5,3.25,3.2,4.55,2.75,3,3,4.5,3
The Conjuring 2,2016,65,7.4,80,82,4.5,3.25,3.7,4,4.1,3,3.5,4,4
The Darkness,2016,27,4.3,4,20,2.5,1.35,2.15,0.2,1,1.5,2,0,1
The Disappointments Room,2016,31,3.9,0,18,2.5,1.55,1.95,0,0.9,1.5,2,0,1
The Duel,2016,42,5.7,22,30,3.5,2.1,2.85,1.1,1.5,2,3,1,1.5
The Edge of Seventeen,2016,77,7.5,95,84,4,3.85,3.75,4.75,4.2,4,4,5,4
The Finest Hours,2016,58,6.8,63,66,4,2.9,3.4,3.15,3.3,3,3.5,3,3.5
The Forest,2016,34,4.8,10,22,3,1.7,2.4,0.5,1.1,1.5,2.5,0.5,1
The Founder,2016,66,7.2,83,81,4,3.3,3.6,4.15,4.05,3.5,3.5,4,4
The Girl on the Train,2016,48,6.5,44,50,4,2.4,3.25,2.2,2.5,2.5,3,2,2.5
The Girl with All the Gifts,2016,67,6.7,84,67,4,3.35,3.35,4.2,3.35,3.5,3.5,4,3.5
The Great Wall,2016,42,6.2,35,51,4,2.1,3.1,1.75,2.55,2,3,2,2.5
The Huntsman: Winter's War,2016,35,6.1,17,46,4,1.75,3.05,0.85,2.3,2,3,1,2.5
The Infiltrator,2016,66,7.1,69,72,4,3.3,3.55,3.45,3.6,3.5,3.5,3.5,3.5
The Jungle Book,2016,77,7.5,95,87,4.5,3.85,3.75,4.75,4.35,4,4,5,4.5
The Last Word,2017,41,6.7,35,56,3.5,2.05,3.35,1.75,2.8,2,3.5,2,3
The Legend of Tarzan,2016,44,6.3,36,60,4.5,2.2,3.15,1.8,3,2,3,2,3
The LEGO Batman Movie,2017,75,7.6,91,83,4.5,3.75,3.8,4.55,4.15,4,4,4.5,4
The Light Between Oceans,2016,60,7.2,59,62,4,3,3.6,2.95,3.1,3,3.5,3,3
The Magnificent Seven,2016,54,7,63,73,4.5,2.7,3.5,3.15,3.65,2.5,3.5,3,3.5
The Neon Demon,2016,51,6.3,57,52,3.5,2.55,3.15,2.85,2.6,2.5,3,3,2.5
The Nice Guys,2016,70,7.4,92,79,3.5,3.5,3.7,4.6,3.95,3.5,3.5,4.5,4
The Other Side of the Door,2016,41,5.3,39,30,3.5,2.05,2.65,1.95,1.5,2,2.5,2,1.5
The Perfect Match,2016,41,4.8,27,45,4,2.05,2.4,1.35,2.25,2,2.5,1.5,2
The Purge: Election Year,2016,55,6,54,49,4,2.75,3,2.7,2.45,3,3,2.5,2.5
The Secret Life of Pets,2016,61,6.6,74,63,4,3.05,3.3,3.7,3.15,3,3.5,3.5,3
The Shack,2017,32,6.7,21,86,4.5,1.6,3.35,1.05,4.3,1.5,3.5,1,4.5
The Shallows,2016,59,6.4,78,60,4,2.95,3.2,3.9,3,3,3,4,3
The Space Between Us,2017,33,6.3,17,64,4,1.65,3.15,0.85,3.2,1.5,3,1,3
The Take (Bastille Day),2016,48,6.3,46,43,4,2.4,3.15,2.3,2.15,2.5,3,2.5,2
The Whole Truth,2016,46,6.1,29,33,3,2.3,3.05,1.45,1.65,2.5,3,1.5,1.5
The Wild Life,2016,36,5.3,15,28,3,1.8,2.65,0.75,1.4,2,2.5,1,1.5
Triple 9,2016,52,6.3,52,42,3.5,2.6,3.15,2.6,2.1,2.5,3,2.5,2
Trolls,2016,56,6.5,74,69,4.5,2.8,3.25,3.7,3.45,3,3,3.5,3.5
Under the Shadow,2016,84,7,98,76,4,4.2,3.5,4.9,3.8,4,3.5,5,4
Underworld: Blood Wars,2016,23,5.9,17,55,4,1.15,2.95,0.85,2.75,1,3,1,3
War Dogs,2016,57,7.1,60,70,4,2.85,3.55,3,3.5,3,3.5,3,3.5
War on Everyone,2016,50,5.9,56,41,4,2.5,2.95,2.8,2.05,2.5,3,3,2
Warcraft,2016,32,7,28,71,4,1.6,3.5,1.4,3.55,1.5,3.5,1.5,3.5
Whiskey Tango Foxtrot,2016,57,6.6,67,55,3.5,2.85,3.3,3.35,2.75,3,3.5,3.5,3
Why Him?,2016,39,6.4,40,57,4,1.95,3.2,2,2.85,2,3,2,3
X-Men: Apocalypse,2016,52,7.1,48,67,4,2.6,3.55,2.4,3.35,2.5,3.5,2.5,3.5
XX,2017,64,4.7,71,17,3,3.2,2.35,3.55,0.85,3,2.5,3.5,1
xXx: Return of Xander Cage,2017,42,5.4,43,45,4,2.1,2.7,2.15,2.25,2,2.5,2,2
Zoolander 2,2016,34,4.8,23,21,2.5,1.7,2.4,1.15,1.05,1.5,2.5,1,1
Zootopia,2016,78,8.1,98,92,4.5,3.9,4.05,4.9,4.6,4,4,5,4.5